,1 threads,2 threads,4 threads,8 threads,16 threads
1M,1.067524115755627,0.858321870701513,0.8839009287925697,0.5975836431226766,0.1634234828496042
2M,1.0162882527147088,0.9464285714285714,0.8082482993197279,0.40221943048576214,0.2657170923379175
4M,1.0436931079323797,1.0050651230101302,0.9606147934678194,0.4898528099910794,0.3229166666666667
8M,1.0299242424242423,1.0481748199652345,1.0449877750611247,0.3874868559411146,0.31733801605504586
16M,1.1008105369807497,1.0084252636683235,0.9277566539923954,0.5422622141372141,0.271980172188886
32M,1.3177447409011847,1.2025324550745027,0.9747733085328993,0.7145644511581067,0.40361617312072895
64M,1.371053657269066,1.071594784992509,1.0629472530009234,0.7023650832121506,0.3683654748698695
128M,1.3478982346320987,1.1193372282348435,1.0030672992656613,0.7583661630373608,0.3718243699369937
